season,week,position,player_id,player_display_name,actual,baseline_pred,ensemble_pred,model_pred,q10,q50,q90,baseline_error,model_error,ensemble_error,model_advantage,ensemble_advantage
2023,1,RB,00-0036360,Clyde Edwards-Helaire,3.9,3.25,4.574,4.738,0.291,3.273,12.873,0.65,0.838,0.674,-0.188,-0.024
2023,1,RB,00-0036370,Joshua Kelley,15.1,6.075,7.892,7.756,1.012,6.151,17.676,9.025,7.344,7.208,1.681,1.817
2023,1,RB,00-0036414,Cam Akers,8.9,19.45,16.798,16.254,5.623,14.487,24.78,10.55,7.354,7.898,3.196,2.652
2023,1,RB,00-0036425,DeeJay Dallas,2.8,7.575,7.959,8.129,0.918,5.957,17.915,4.775,5.329,5.159,-0.554,-0.384
2023,1,RB,00-0036493,Deon Jackson,3.8,8.125,6.23,6.044,0.613,5.334,14.163,4.325,2.244,2.43,2.081,1.895
2023,1,RB,00-0036555,Chuba Hubbard,8.9,9.65,10.224,10.21,2.886,8.97,20.408,0.75,1.31,1.324,-0.56,-0.574
2023,1,RB,00-0036567,Elijah Mitchell,1.0,9.875,7.381,7.683,0.763,6.625,17.534,8.875,6.683,6.381,2.192,2.494
2023,1,RB,00-0036569,Gary Brightwell,3.1,2.025,4.968,5.568,0.331,3.623,14.283,1.075,2.468,1.868,-1.393,-0.793
2023,1,RB,00-0036857,Chris Evans,2.1,1.95,2.794,2.52,-0.0,1.75,8.643,0.15,0.42,0.694,-0.27,-0.544
2023,1,RB,00-0036860,Jake Funk,3.2,0.125,2.266,3.198,0.095,1.367,10.459,3.075,0.002,0.934,3.073,2.141
2023,1,RB,00-0036875,Rhamondre Stevenson,14.9,12.1,12.638,12.011,2.882,10.097,24.017,2.8,2.889,2.262,-0.089,0.538
2023,1,RB,00-0036893,Najee Harris,5.3,16.1,12.238,10.907,5.017,12.362,24.151,10.8,5.607,6.938,5.193,3.862
2023,1,RB,00-0036906,Khalil Herbert,11.4,4.25,6.575,7.134,0.706,5.726,16.663,7.15,4.266,4.825,2.884,2.325
2023,1,RB,00-0036919,Kenny Gainwell,11.4,5.525,7.745,7.714,1.291,5.819,16.768,5.875,3.686,3.655,2.189,2.22
2023,1,RB,00-0036924,Michael Carter,3.8,4.775,5.983,6.42,0.789,5.35,14.224,0.975,2.62,2.183,-1.645,-1.208
2023,1,RB,00-0036973,Travis Etienne,21.4,13.825,12.662,13.034,3.632,11.062,23.452,7.575,8.366,8.738,-0.791,-1.163
2023,1,RB,00-0036997,Javonte Williams,9.7,10.5,12.58,12.179,3.408,10.224,23.06,0.8,2.479,2.88,-1.679,-2.08
2023,1,RB,00-0037197,Isiah Pacheco,9.4,11.0,11.498,11.417,1.306,8.17,18.366,1.6,2.017,2.098,-0.417,-0.498
2023,1,RB,00-0037228,Jaylen Warren,6.8,9.0,7.611,7.227,1.261,6.654,17.399,2.2,0.427,0.811,1.773,1.389
2023,1,RB,00-0037248,James Cook,10.3,9.825,8.315,7.589,0.56,5.523,16.894,0.475,2.711,1.985,-2.236,-1.51
2023,1,RB,00-0037256,Rachaad White,6.9,7.975,8.466,8.102,0.663,6.176,17.296,1.075,1.202,1.566,-0.127,-0.491
2023,1,RB,00-0037258,Dameon Pierce,6.7,8.15,10.457,11.293,1.245,9.253,18.674,1.45,4.593,3.757,-3.143,-2.307
2023,1,RB,00-0037263,Tyler Allgeier,24.4,17.075,12.388,12.109,6.26,11.962,18.447,7.325,12.291,12.012,-4.966,-4.687
2023,1,RB,00-0037267,Jerome Ford,1.6,0.225,3.378,3.663,0.134,2.295,11.947,1.375,2.063,1.778,-0.688,-0.403
2023,1,RB,00-0037276,Ty Chandler,2.8,1.0,4.225,4.196,0.198,2.612,13.488,1.8,1.396,1.425,0.404,0.375
2023,1,RB,00-0037299,Keaontay Ingram,-0.4,0.65,2.546,2.965,0.194,2.479,10.97,1.05,3.365,2.946,-2.315,-1.896
2023,1,RB,00-0037557,Ronnie Rivers,0.0,5.0,1.275,0.438,-0.194,0.019,3.245,5.0,0.438,1.275,4.562,3.725
2023,1,RB,00-0037746,Brian Robinson,13.6,9.825,10.883,10.732,4.413,10.354,21.919,3.775,2.868,2.717,0.907,1.058
2023,1,RB,00-0037840,Kyren Williams,17.4,2.075,4.358,4.802,0.15,2.743,11.461,15.325,12.598,13.042,2.727,2.283
